variant,rouge1,rouge2,rougeL,bleu,doc_id,is_long,timestamp
baseline,0.4706,0.1687,0.2588,0.0517,bcd231035ba88dd66f19fbeb2724f7ee7e6329e3,True,2026-05-02T10:58:29.670635
role_only,0.5217,0.2889,0.3478,0.2004,bcd231035ba88dd66f19fbeb2724f7ee7e6329e3,True,2026-05-02T10:58:33.726215
cot_only,0.4706,0.1687,0.2588,0.0517,bcd231035ba88dd66f19fbeb2724f7ee7e6329e3,True,2026-05-02T10:58:37.218019
no_fillers,0.5053,0.3011,0.3579,0.2044,bcd231035ba88dd66f19fbeb2724f7ee7e6329e3,True,2026-05-02T10:58:40.733669
full,0.4792,0.1489,0.2292,0.0536,bcd231035ba88dd66f19fbeb2724f7ee7e6329e3,True,2026-05-02T10:58:44.921384
chunk_full,0.34,0.1429,0.18,0.0456,bcd231035ba88dd66f19fbeb2724f7ee7e6329e3,True,2026-05-02T10:59:07.887314
baseline,0.3265,0.0625,0.1837,0.0266,51330b87d3a7fc3efd854f2a569364c55ff5426a,True,2026-05-02T10:59:10.929282
role_only,0.2889,0.0455,0.1778,0.0204,51330b87d3a7fc3efd854f2a569364c55ff5426a,True,2026-05-02T10:59:13.491798
cot_only,0.25,0.0638,0.1667,0.0352,51330b87d3a7fc3efd854f2a569364c55ff5426a,True,2026-05-02T10:59:16.207311
no_fillers,0.2909,0.0556,0.1636,0.0276,51330b87d3a7fc3efd854f2a569364c55ff5426a,True,2026-05-02T10:59:19.475791
full,0.2975,0.0672,0.1818,0.026,51330b87d3a7fc3efd854f2a569364c55ff5426a,True,2026-05-02T10:59:23.150081
chunk_full,0.186,0.0238,0.1395,0.0148,51330b87d3a7fc3efd854f2a569364c55ff5426a,True,2026-05-02T10:59:40.240659
baseline,0.2692,0.1569,0.1923,0.0947,a27c3b016d3e11d2ac55632af3d9f64b20ecb052,False,2026-05-02T10:59:42.488479
role_only,0.1818,0.1163,0.1591,0.0553,a27c3b016d3e11d2ac55632af3d9f64b20ecb052,False,2026-05-02T10:59:44.725486
cot_only,0.1818,0.1163,0.1591,0.0553,a27c3b016d3e11d2ac55632af3d9f64b20ecb052,False,2026-05-02T10:59:46.960521
no_fillers,0.2857,0.1553,0.2095,0.0971,a27c3b016d3e11d2ac55632af3d9f64b20ecb052,False,2026-05-02T10:59:49.109733
full,0.1818,0.1163,0.1591,0.0553,a27c3b016d3e11d2ac55632af3d9f64b20ecb052,False,2026-05-02T10:59:51.342471
baseline,0.3684,0.1351,0.2632,0.0695,7f86db7661c4a6d63e8c4eb181788faa9019fc63,False,2026-05-02T10:59:53.678028
role_only,0.3684,0.1351,0.2632,0.0695,7f86db7661c4a6d63e8c4eb181788faa9019fc63,False,2026-05-02T10:59:56.107849
cot_only,0.3684,0.1351,0.2632,0.0695,7f86db7661c4a6d63e8c4eb181788faa9019fc63,False,2026-05-02T10:59:58.492529
no_fillers,0.35,0.1282,0.15,0.0351,7f86db7661c4a6d63e8c4eb181788faa9019fc63,False,2026-05-02T11:00:00.802531
full,0.3684,0.1351,0.2632,0.0695,7f86db7661c4a6d63e8c4eb181788faa9019fc63,False,2026-05-02T11:00:03.245556
baseline,0.4598,0.1882,0.3218,0.0976,f8e569d2d6ba2128734f2aecfba17e3121149df3,True,2026-05-02T11:00:05.535089
